Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Hepatitis C: the mysterious virus that met its match | AbbVie,Hero Section,Prominent hero image and heading introducing the page topic.,M,1,Moderate complexity for styling and responsiveness.,https://www.abbvie.com/who-we-are/our-stories/hepatitis-c-mysterious-virus-that-met-its-match.html,hero_section,Hero banner,Mapped to Hero block in catalog.
Hepatitis C: the mysterious virus that met its match | AbbVie,Main Content,The main content area containing the article or story details.,C,1,High complexity due to the depth of content and potential for dynamic elements.,https://www.abbvie.com/who-we-are/our-stories/hepatitis-c-mysterious-virus-that-met-its-match.html,main_content,Content display,No exact match found in catalog.
Hepatitis C: the mysterious virus that met its match | AbbVie,Footer,Footer section with links and additional site navigation.,S,1,Relatively simple implementation with predefined styles.,https://www.abbvie.com/who-we-are/our-stories/hepatitis-c-mysterious-virus-that-met-its-match.html,footer,Footer navigation,Mapped to Footer block in catalog.
Trapped in your own skin | AbbVie,Global Navigation,Provides primary navigation for the site.,M,1,Includes multiple navigation levels and accessibility considerations.,https://www.abbvie.com/who-we-are/our-stories/trapped-in-your-own-skin.html,global_navigation,Primary navigation,No exact match found in the AEM catalog.
Trapped in your own skin | AbbVie,Hero Section,Displays a prominent hero section with an image and headline.,M,1,Requires CSS and JS for layout and interactivity.,https://www.abbvie.com/who-we-are/our-stories/trapped-in-your-own-skin.html,hero_section,Visual introduction,Mapped to 'Hero' from AEM catalog.
Trapped in your own skin | AbbVie,Main Content,Contains the primary content of the page.,M,1,Includes structured layout and styling.,https://www.abbvie.com/who-we-are/our-stories/trapped-in-your-own-skin.html,main_content,Story content,No exact match found in the AEM catalog.
Trapped in your own skin | AbbVie,Footer,Provides footer navigation and contact information.,M,1,Requires CSS and JS for layout and interactivity.,https://www.abbvie.com/who-we-are/our-stories/trapped-in-your-own-skin.html,footer,Footer navigation,Mapped to 'Footer' from AEM catalog.
Aesthetics Stories | AbbVie,Global Navigation,Primary navigation menu for accessing main site sections.,M,1,Includes accessibility features and deep navigation structure.,https://www.abbvie.com/who-we-are/our-stories/aesthetics-stories.html,global_navigation,Main navigation,No exact match found in the AEM catalog.
Aesthetics Stories | AbbVie,Hero Section,Main visual and textual introduction to the page content.,M,1,Includes large imagery and responsive textual elements.,https://www.abbvie.com/who-we-are/our-stories/aesthetics-stories.html,hero_section,Page hero,Matches the 'Hero' block in the AEM catalog.
Aesthetics Stories | AbbVie,Story Cards,Grid of cards showcasing featured stories or articles.,M,1,Uses a grid layout with responsive design and integrated content.,https://www.abbvie.com/who-we-are/our-stories/aesthetics-stories.html,story_cards,Content grid,Matches the 'Cards' block in the AEM catalog.
Patient Support | AbbVie,Global Utility Strip,Provides quick links for contact and subscriptions.,S,1,Simple utility links with minimal interactivity.,https://www.abbvie.com/who-we-are/our-stories/patient-support-stories.html,global_utility_strip,Utility strip,No matching catalog entry found.
Patient Support | AbbVie,Primary Navigation,Main site navigation with dropdown menus.,M,1,Dropdown functionality and potential accessibility considerations.,https://www.abbvie.com/who-we-are/our-stories/patient-support-stories.html,primary_navigation,Main navigation,No matching catalog entry found.
Patient Support | AbbVie,Footer Links,Footer navigation links for additional site sections.,S,1,Standard footer implementation.,https://www.abbvie.com/who-we-are/our-stories/patient-support-stories.html,footer_links,Footer navigation,Mapped to 'Footer' block in catalog.
Patient Support | AbbVie,Back to Top Button,Scroll-back functionality for user convenience.,S,1,Single button with basic JavaScript functionality.,https://www.abbvie.com/who-we-are/our-stories/patient-support-stories.html,back_to_top,Scroll-back button,No matching catalog entry found.
Partnerships Stories | AbbVie,Global Utility Strip,"Provides quick access to contact, subscription, and group sites.",M,1,Includes multiple quick-access features requiring integration.,https://www.abbvie.com/who-we-are/our-stories/partnerships-stories.html,global_utility_strip,Utility strip,No exact match found in the catalog.
Partnerships Stories | AbbVie,Primary Navigation,Main site navigation with dropdown menus for different sections.,C,1,Deep navigation structure with dropdowns and accessibility requirements.,https://www.abbvie.com/who-we-are/our-stories/partnerships-stories.html,primary_navigation,Main navigation,No exact match found in the catalog.
Partnerships Stories | AbbVie,Hero Section,Prominent section showcasing the main theme or story of the page.,M,1,Requires integration of hero image and responsive styling.,https://www.abbvie.com/who-we-are/our-stories/partnerships-stories.html,hero_section,Hero,Matched to catalog entry 'Hero'.
Partnerships Stories | AbbVie,Story Highlight,Highlights an individual story with an image and description.,M,1,Requires card layout and responsive design.,https://www.abbvie.com/who-we-are/our-stories/partnerships-stories.html,story_highlight,Card layout,Matched to catalog entry 'Cards'.
Partnerships Stories | AbbVie,Dashboard Cards,Displays a set of cards with key facts and highlights.,M,1,Requires a grid layout for multiple cards and responsive design.,https://www.abbvie.com/who-we-are/our-stories/partnerships-stories.html,dashboard_cards,Card grid,Matched to catalog entry 'Cards'.
Why isn’t medicine one size fits all? | AbbVie,Utility Navigation,"Provides links for contact, subscription, and group sites.",S,1,Simple links with limited interactivity.,https://www.abbvie.com/who-we-are/our-stories/why-isnt-medicine-one-size-fits-all.html,global_utility_strip,Utility strip,No matching catalog entry found.
Why isn’t medicine one size fits all? | AbbVie,Main Navigation,Facilitates exploration of site sections with dropdown menus.,M,1,Dropdown menus add moderate complexity.,https://www.abbvie.com/who-we-are/our-stories/why-isnt-medicine-one-size-fits-all.html,primary_navigation,Primary navigation,No matching catalog entry found.
"Rebuilding Puerto Rico, one community health center at a time | AbbVie",Utility Navigation,Provides links for contact and subscription.,S,1,Simple navigation links without deep interactivity.,https://www.abbvie.com/who-we-are/our-stories/rebuilding-puerto-rico-one-community-health-center-at-a-time.html,global_utility_strip,Utility strip,No matching catalog entry found.
"Rebuilding Puerto Rico, one community health center at a time | AbbVie",Main Navigation,Serves as the primary navigation menu.,M,1,Dropdown menus increase implementation complexity.,https://www.abbvie.com/who-we-are/our-stories/rebuilding-puerto-rico-one-community-health-center-at-a-time.html,primary_navigation,Main navigation,No matching catalog entry found.
"Rebuilding Puerto Rico, one community health center at a time | AbbVie",Content Lead,Introduces the main topic of the page.,S,1,Simple introductory content.,https://www.abbvie.com/who-we-are/our-stories/rebuilding-puerto-rico-one-community-health-center-at-a-time.html,main_content_lead,Content introduction,No matching catalog entry found.
"Rebuilding Puerto Rico, one community health center at a time | AbbVie",Text Columns,Displays textual content in a column layout.,S,1,Text layout without interactive elements.,https://www.abbvie.com/who-we-are/our-stories/rebuilding-puerto-rico-one-community-health-center-at-a-time.html,prose_columns,Columnar text,No matching catalog entry found.
"Rebuilding Puerto Rico, one community health center at a time | AbbVie",Back to Top,Provides a button to return to the top of the page.,S,1,Basic button functionality.,https://www.abbvie.com/who-we-are/our-stories/rebuilding-puerto-rico-one-community-health-center-at-a-time.html,back_to_top,Return to top,No matching catalog entry found.
Day in the Life: Government affairs director educates and empowers | AbbVie,Global Utility Strip,"Provides quick access to contact, subscribe, and group sites links.",S,1,Simple utility links for navigation.,https://www.abbvie.com/who-we-are/our-stories/day-in-life-government-affairs-director-educates-and-empowers.html,global_utility_strip,Utility strip,No exact match found in AEM catalog.
Day in the Life: Government affairs director educates and empowers | AbbVie,Primary Navigation,"Main navigation menu for the site, including dropdowns and links.",M,1,Moderate complexity due to dropdowns and hierarchical structure.,https://www.abbvie.com/who-we-are/our-stories/day-in-life-government-affairs-director-educates-and-empowers.html,primary_navigation,Main navigation,No exact match found in AEM catalog.
Day in the Life: Government affairs director educates and empowers | AbbVie,CTA Button,"Encourages users to take an action, such as navigating to another page.",S,1,Simple button implementation.,https://www.abbvie.com/who-we-are/our-stories/day-in-life-government-affairs-director-educates-and-empowers.html,cta_button,Call-to-action,No exact match found in AEM catalog.
Neuroscience Stories | AbbVie,Global Utility Strip,"Provides quick access links like contact, subscription, and group site links.",S,1,Simple link-based functionality with minimal interactivity.,https://www.abbvie.com/who-we-are/our-stories/neuroscience-stories.html,global_utility_strip,Utility strip,No direct match found in the catalog.
Neuroscience Stories | AbbVie,Primary Navigation,Main site navigation including dropdown menus for section exploration.,C,1,Deep navigation structure with dropdown menus and potential accessibility requirements.,https://www.abbvie.com/who-we-are/our-stories/neuroscience-stories.html,primary_navigation,Main navigation,No direct match found in the catalog.
Neuroscience Stories | AbbVie,Back to Top Button,Provides a button that allows users to return to the top of the page quickly.,S,1,Single button functionality with straightforward behavior.,https://www.abbvie.com/who-we-are/our-stories/neuroscience-stories.html,back_to_top,Back to top,No direct match found in the catalog.
EEDI Stories | AbbVie,Global Utility Strip,"Provides quick access to contact, subscribe, and group site links.",S,1,Simple utility strip with links.,https://www.abbvie.com/who-we-are/our-stories/eedi-stories.html,global_utility_strip,Utility strip,No direct match found in catalog.
EEDI Stories | AbbVie,Primary Navigation,Main site navigation with dropdown menus for exploring sections.,C,1,Complex navigation structure with dropdowns and accessibility considerations.,https://www.abbvie.com/who-we-are/our-stories/eedi-stories.html,primary_navigation,Main navigation,No direct match found in catalog.
EEDI Stories | AbbVie,Hero Section,Prominent section showcasing the main theme or story of the page.,M,1,Requires responsive design and prominent visual styling.,https://www.abbvie.com/who-we-are/our-stories/eedi-stories.html,hero_section,Hero,No direct match found in catalog.
EEDI Stories | AbbVie,Card Grid - Stories,Displays featured stories in a card format with images and descriptions.,M,1,Card layout requires responsive design and image handling.,https://www.abbvie.com/who-we-are/our-stories/eedi-stories.html,card_grid_stories,Story cards,Mapped to 'Cards' from catalog.
EEDI Stories | AbbVie,Dashboard Cards,Highlights key metrics or facts in a visually distinct format.,M,1,Visual distinction and metric presentation add complexity.,https://www.abbvie.com/who-we-are/our-stories/eedi-stories.html,dashboard_cards,Metrics display,No direct match found in catalog.
AbbVie volunteers return to serving global communities through Week of Possibilities | AbbVie,Global Utility Strip,"Provides quick access to contact, subscription, and group site links.",S,1,Simple utility navigation with links.,https://www.abbvie.com/who-we-are/our-stories/abbvie-volunteers-return-to-serving.html,global_utility_strip,Utility strip,No direct match found in AEM catalog.
AbbVie volunteers return to serving global communities through Week of Possibilities | AbbVie,Primary Navigation,Main navigation bar for site-wide navigation.,C,1,Complex hierarchical navigation structure.,https://www.abbvie.com/who-we-are/our-stories/abbvie-volunteers-return-to-serving.html,primary_navigation,Main navigation,No direct match found in AEM catalog.
AbbVie volunteers return to serving global communities through Week of Possibilities | AbbVie,Hero Section,Highlights the main story or feature with a large image and heading.,M,1,Includes large visual elements and dynamic text.,https://www.abbvie.com/who-we-are/our-stories/abbvie-volunteers-return-to-serving.html,hero_section,Hero,Matched with Hero block in AEM catalog.
AbbVie volunteers return to serving global communities through Week of Possibilities | AbbVie,Main Content,"Contains the primary content of the page, including stories and features.",M,1,Comprehensive content area with varied subcomponents.,https://www.abbvie.com/who-we-are/our-stories/abbvie-volunteers-return-to-serving.html,main_content,Content section,No direct match found in AEM catalog.
AbbVie volunteers return to serving global communities through Week of Possibilities | AbbVie,Card Grid,Displays a grid of cards with images and text for various stories or features.,M,1,Responsive layout with multiple cards.,https://www.abbvie.com/who-we-are/our-stories/abbvie-volunteers-return-to-serving.html,card_grid,Card grid,Matched with Cards block in AEM catalog.
Navigating ulcerative colitis as a child | AbbVie,Navigation Bar,Provides primary site navigation including logo and main menu.,M,1,Includes main navigation functionality and accessibility considerations.,https://www.abbvie.com/who-we-are/our-stories/navigating-ulcerative-colitis-as-a-child.html,global_navigation,Primary navigation,No exact match found in the AEM blocks catalog; custom implementation likely.
Advancing a public health approach to patient safety | AbbVie,Global Utility Strip,Provides quick access links for global site utilities like contact and subscription.,S,1,Limited functionality with simple links.,https://www.abbvie.com/who-we-are/our-stories/advancing-a-public-health-approach-to-patient-safety.html,global_utility_strip,Utility strip,Not found in the AEM catalog.
Advancing a public health approach to patient safety | AbbVie,Primary Navigation,Main navigation menu for site-wide section access.,M,1,Navigation menus typically require responsive and accessible design.,https://www.abbvie.com/who-we-are/our-stories/advancing-a-public-health-approach-to-patient-safety.html,primary_navigation,Main navigation,Not found in the AEM catalog.
Advancing a public health approach to patient safety | AbbVie,Hero Section,Displays a prominent image and headline to attract attention.,M,1,"Includes large media and typography, often styled prominently.",https://www.abbvie.com/who-we-are/our-stories/advancing-a-public-health-approach-to-patient-safety.html,hero_section,Hero image with headline,Mapped to 'Hero' in the AEM catalog.
Advancing a public health approach to patient safety | AbbVie,Call-to-Action Grid,Organizes call-to-action elements in a grid layout.,M,1,Requires grid layout and interactive elements.,https://www.abbvie.com/who-we-are/our-stories/advancing-a-public-health-approach-to-patient-safety.html,cta_grid,Grid of CTAs,Not found in the AEM catalog.
Advancing a public health approach to patient safety | AbbVie,Card Teasers,Showcases featured content in a card layout.,M,1,Interactive card elements with media and text.,https://www.abbvie.com/who-we-are/our-stories/advancing-a-public-health-approach-to-patient-safety.html,card_teasers,Content cards,Mapped to 'Cards' in the AEM catalog.
"Injecting hope, one vaccine at a time | AbbVie",Global Utility Strip,"Provides quick access to contact, subscription, and group site links.",S,1,Basic functionality with limited interactive elements.,https://www.abbvie.com/who-we-are/our-stories/injecting-hope-one-vaccine-at-a-time.html,global_utility_strip,Utility Strip,No direct match found in the catalog.
"Injecting hope, one vaccine at a time | AbbVie",Primary Navigation,Main site navigation with links to key sections and dropdown menus.,M,1,Dropdown menus and navigation depth increase implementation scope.,https://www.abbvie.com/who-we-are/our-stories/injecting-hope-one-vaccine-at-a-time.html,primary_navigation,Main Navigation,No direct match found in the catalog.
"Injecting hope, one vaccine at a time | AbbVie",Hero Section,Prominent section showcasing the main story or theme of the page.,M,1,Requires visual prominence and potential interaction for storytelling.,https://www.abbvie.com/who-we-are/our-stories/injecting-hope-one-vaccine-at-a-time.html,hero_section,Hero Banner,No direct match found in the catalog.
"Injecting hope, one vaccine at a time | AbbVie",Card Grid,Displays a grid of cards highlighting various stories or features.,M,1,Grid layout and card interactions increase complexity.,https://www.abbvie.com/who-we-are/our-stories/injecting-hope-one-vaccine-at-a-time.html,card_grid,Card Layout,No direct match found in the catalog.
A journey of sight: Progress toward treating neglected tropical diseases | AbbVie,Global Utility Strip,"Provides quick access to contact, subscription, and group sites links.",S,1,Basic functionality and accessibility considerations.,https://www.abbvie.com/who-we-are/our-stories/a-journey-of-sight-progress.html,global_utility_strip,Utility strip,No matching catalog entry found.
A journey of sight: Progress toward treating neglected tropical diseases | AbbVie,Primary Navigation,Main navigation menu for site sections and pages.,M,1,Includes hierarchical navigation structure and accessibility requirements.,https://www.abbvie.com/who-we-are/our-stories/a-journey-of-sight-progress.html,primary_navigation,Main navigation,No matching catalog entry found.
Oncology Stories | AbbVie,Global Utility Strip,Provides quick access links for utilities like contact and subscription.,S,1,Simple static links without dynamic or interactive elements.,https://www.abbvie.com/who-we-are/our-stories/oncology-stories.html,global_utility_strip,Utility strip,No direct match found in AEM catalog.
Oncology Stories | AbbVie,Primary Navigation,Main navigation with dropdown menus for site exploration.,M,1,Dropdown functionality requires JavaScript and accessibility considerations.,https://www.abbvie.com/who-we-are/our-stories/oncology-stories.html,primary_navigation,Main navigation,No direct match found in AEM catalog.
Immunology Stories | AbbVie,Global Utility Strip,"Provides quick access to contact, subscription, and group site links.",S,1,Simple utility links without interactive complexity.,https://www.abbvie.com/who-we-are/our-stories/immunology-stories.html,global_utility_strip,Utility strip,No exact match found in the AEM blocks catalog.
Immunology Stories | AbbVie,Primary Navigation,Main site navigation with dropdown menus for categories.,M,1,Dropdown functionality and potential accessibility considerations.,https://www.abbvie.com/who-we-are/our-stories/immunology-stories.html,primary_navigation,Main navigation,No exact match found in the AEM blocks catalog.
Connecting patients with care: 3 lessons learned during COVID-19 | AbbVie,Global Utility Strip,"Provides quick access to contact, subscription, and group site links.",S,1,Basic utility strip without complex features.,https://www.abbvie.com/who-we-are/our-stories/connecting-patients-with-care-3-lessons-learned-during-covid-19.html,global_utility_strip,Utility strip,No direct match in catalog.
Connecting patients with care: 3 lessons learned during COVID-19 | AbbVie,Primary Navigation,Main navigation menu with links to key sections of the site.,C,1,Deep navigation structure with potential accessibility requirements.,https://www.abbvie.com/who-we-are/our-stories/connecting-patients-with-care-3-lessons-learned-during-covid-19.html,primary_navigation,Main navigation,No direct match in catalog.
Connecting patients with care: 3 lessons learned during COVID-19 | AbbVie,Hero Section,Prominent visual and textual introduction to the page content.,M,1,"Hero section with image and heading, requiring CSS and JS integration.",https://www.abbvie.com/who-we-are/our-stories/connecting-patients-with-care-3-lessons-learned-during-covid-19.html,hero_section,Hero banner,Mapped to 'Hero' block in catalog.
Connecting patients with care: 3 lessons learned during COVID-19 | AbbVie,Content Columns,Main content area divided into columns for structured presentation.,M,1,Column layout with potential responsive design considerations.,https://www.abbvie.com/who-we-are/our-stories/connecting-patients-with-care-3-lessons-learned-during-covid-19.html,content_columns,Content layout,No direct match in catalog.
Connecting patients with care: 3 lessons learned during COVID-19 | AbbVie,Card Grid,Displays featured stories and highlights in a card format.,M,1,"Cards layout with images and text, requiring CSS and JS for responsiveness.",https://www.abbvie.com/who-we-are/our-stories/connecting-patients-with-care-3-lessons-learned-during-covid-19.html,card_grid,Card display,Mapped to 'Cards' block in catalog.
How patient voices are changing medicine | AbbVie,Global Utility Strip,"Provides quick access to contact, subscription, and group site links.",M,1,Includes user interaction for navigation and accessibility considerations.,https://www.abbvie.com/who-we-are/our-stories/how-patient-voices-are-changing-medicine.html,global_utility_strip,Utility strip,Ensure accessibility standards are met.
How patient voices are changing medicine | AbbVie,Primary Navigation,Main site navigation with dropdown menus for exploring site sections.,C,1,Complex navigation structure with dropdowns and multi-level menus.,https://www.abbvie.com/who-we-are/our-stories/how-patient-voices-are-changing-medicine.html,primary_navigation,Main navigation,Requires focus on responsive design and accessibility.
How patient voices are changing medicine | AbbVie,Hero Section,Highlights the main story or focus of the page with a large image and heading.,M,1,Includes large visuals and potential animations.,https://www.abbvie.com/who-we-are/our-stories/how-patient-voices-are-changing-medicine.html,hero_section,Hero banner,Ensure image optimization for performance.
How patient voices are changing medicine | AbbVie,Content Introduction,Introduces the page content with a brief overview or summary.,S,1,Simple text-based content block.,https://www.abbvie.com/who-we-are/our-stories/how-patient-voices-are-changing-medicine.html,content_intro,Content summary,Focus on concise and clear messaging.
How patient voices are changing medicine | AbbVie,Card Grid,Displays a grid of cards with images and descriptions for related stories or topics.,C,1,Dynamic content generation and layout responsiveness.,https://www.abbvie.com/who-we-are/our-stories/how-patient-voices-are-changing-medicine.html,card_grid,Grid of cards,Consider lazy loading for performance.
"AbbVie rebuilds North Chicago’s middle school, inspiring students to reach higher | AbbVie",Global Utility Strip,"Provides quick access to contact, subscription, and group site links.",S,1,Simple navigation links with minimal functionality.,https://www.abbvie.com/who-we-are/our-stories/abbvie-rebuilds-north-chicagos-middle-school-inspiring-students-to-reach-higher.html,global_utility_strip,Utility strip,No matching catalog entry found.
"AbbVie rebuilds North Chicago’s middle school, inspiring students to reach higher | AbbVie",Primary Navigation,Main site navigation including sections and subsections.,M,1,Includes hierarchical navigation structure.,https://www.abbvie.com/who-we-are/our-stories/abbvie-rebuilds-north-chicagos-middle-school-inspiring-students-to-reach-higher.html,primary_navigation,Main navigation,No matching catalog entry found.
"AbbVie rebuilds North Chicago’s middle school, inspiring students to reach higher | AbbVie",Hero Section,Prominent section with a large image and headline to capture user attention.,M,1,Requires dynamic styling and positioning for visual emphasis.,https://www.abbvie.com/who-we-are/our-stories/abbvie-rebuilds-north-chicagos-middle-school-inspiring-students-to-reach-higher.html,hero_section,Hero banner,Matched with Hero block in catalog.
"AbbVie rebuilds North Chicago’s middle school, inspiring students to reach higher | AbbVie",Content Grid,"Displays main content in a grid layout, including cards and text blocks.",M,1,Grid layout with dynamic content handling.,https://www.abbvie.com/who-we-are/our-stories/abbvie-rebuilds-north-chicagos-middle-school-inspiring-students-to-reach-higher.html,content_grid,Content grid layout,No matching catalog entry found.
"Three factors that drove the transformational integration of AbbVie, Allergan | AbbVie",Global Utility Strip,"Provides contact, subscription, and group site links.",S,1,Limited interactivity and links.,https://www.abbvie.com/who-we-are/our-stories/three-factors-that-drove-transformational-integration-abbvie-allergan.html,global_utility_strip,Utility strip,No exact catalog match found.
"Three factors that drove the transformational integration of AbbVie, Allergan | AbbVie",Primary Navigation,Main navigation menu with branding and links.,M,1,Main navigation typically includes dropdowns and responsive behavior.,https://www.abbvie.com/who-we-are/our-stories/three-factors-that-drove-transformational-integration-abbvie-allergan.html,primary_navigation,Main navigation,No exact catalog match found.
"Three factors that drove the transformational integration of AbbVie, Allergan | AbbVie",Main Content,Primary content area with articles and information.,S,1,Static content area without interactive elements.,https://www.abbvie.com/who-we-are/our-stories/three-factors-that-drove-transformational-integration-abbvie-allergan.html,main_content,Content area,No exact catalog match found.
Magnified featuring Shuhong Zhang | AbbVie,Global Header,Provides site-wide navigation and branding.,M,1,Includes accessibility considerations and possibly dynamic menu elements.,https://www.abbvie.com/who-we-are/our-stories/magnified-featuring-shuhong-zhang.html,global_header,Main navigation,Ensure compatibility with varied screen sizes and devices.
Magnified featuring Shuhong Zhang | AbbVie,Main Content,"Displays the primary content of the page, including text and media.",M,1,May involve complex layout and embedded media elements.,https://www.abbvie.com/who-we-are/our-stories/magnified-featuring-shuhong-zhang.html,main_content,Content display,Focus on responsive design and performance optimization.
More than Skin Deep: 3 Lessons for Expanding Equity in Dermatology | AbbVie,Global Utility Strip,"Provides quick access links for contact, subscription, and group sites.",S,1,Simple links with minimal interaction.,https://www.abbvie.com/who-we-are/our-stories/more-than-skin-deep-3-lessons-for-expanding-equity-in-dermatology.html,global_utility_strip,Utility Strip,No direct match found in the AEM catalog.
More than Skin Deep: 3 Lessons for Expanding Equity in Dermatology | AbbVie,Primary Navigation,Main navigation menu for the site.,C,1,Deep navigation structure with potential accessibility requirements.,https://www.abbvie.com/who-we-are/our-stories/more-than-skin-deep-3-lessons-for-expanding-equity-in-dermatology.html,primary_navigation,Main Navigation,No direct match found in the AEM catalog.
More than Skin Deep: 3 Lessons for Expanding Equity in Dermatology | AbbVie,Main Content,"Contains the primary content of the page, including articles and features.",M,1,Moderate complexity due to potential multimedia and interactive elements.,https://www.abbvie.com/who-we-are/our-stories/more-than-skin-deep-3-lessons-for-expanding-equity-in-dermatology.html,main_content,Content Area,No direct match found in the AEM catalog.
Making it migraine-friendly: Why we’re reimagining the workplace | AbbVie,Global Utility Strip,"Provides quick access links for contact, subscription, and group sites.",S,1,Basic navigation links with minimal interactivity.,https://www.abbvie.com/who-we-are/our-stories/making-it-migraine-friendly-why-were-reimagining-workplace.html,global_utility_strip,Utility strip,No matching block found in the AEM catalog.
Making it migraine-friendly: Why we’re reimagining the workplace | AbbVie,Primary Navigation,Facilitates main site navigation with dropdown menus.,M,1,Includes dropdown menus and potential for deep navigation.,https://www.abbvie.com/who-we-are/our-stories/making-it-migraine-friendly-why-were-reimagining-workplace.html,primary_navigation,Main navigation,No matching block found in the AEM catalog.
Making it migraine-friendly: Why we’re reimagining the workplace | AbbVie,Hero Section,Displays a hero image and headline for the page.,S,1,Static image and text with no dynamic behavior.,https://www.abbvie.com/who-we-are/our-stories/making-it-migraine-friendly-why-were-reimagining-workplace.html,hero_section,Hero section,Matched with the 'Hero' block in the AEM catalog.
Making it migraine-friendly: Why we’re reimagining the workplace | AbbVie,Main Content Area,"Holds the primary content of the page, including text and media.",M,1,Includes diverse content types and media integration.,https://www.abbvie.com/who-we-are/our-stories/making-it-migraine-friendly-why-were-reimagining-workplace.html,main_content,Main content,No matching block found in the AEM catalog.
Making it migraine-friendly: Why we’re reimagining the workplace | AbbVie,Call to Action Section,Features calls to action to guide user interaction.,S,1,Simple buttons and links for user interaction.,https://www.abbvie.com/who-we-are/our-stories/making-it-migraine-friendly-why-were-reimagining-workplace.html,cta_section,Call to action,No matching block found in the AEM catalog.
Making it migraine-friendly: Why we’re reimagining the workplace | AbbVie,Card Grid,Displays a grid of cards showcasing articles or features.,S,1,Responsive grid layout with static images and text.,https://www.abbvie.com/who-we-are/our-stories/making-it-migraine-friendly-why-were-reimagining-workplace.html,card_grid,Card grid,Matched with the 'Cards' block in the AEM catalog.
Putting our people first AbbVie’s family benefits | AbbVie,Global Utility Strip,Provides global navigation links and options.,M,1,Includes multiple navigation options and potential interactivity.,https://www.abbvie.com/who-we-are/our-stories/putting-our-people-first-abbvies-family-benefits.html,global_utility_strip,Utility strip,Not mapped to a specific AEM block catalog entry.
Putting our people first AbbVie’s family benefits | AbbVie,Primary Navigation,Main navigation menu for site sections.,C,1,Deep navigation structure with potential accessibility requirements.,https://www.abbvie.com/who-we-are/our-stories/putting-our-people-first-abbvies-family-benefits.html,primary_navigation,Main navigation,Not mapped to a specific AEM block catalog entry.
Putting our people first AbbVie’s family benefits | AbbVie,Hero Section,Prominent introductory section with a large visual and text.,M,1,Requires visual prominence and responsive design.,https://www.abbvie.com/who-we-are/our-stories/putting-our-people-first-abbvies-family-benefits.html,hero_section,Hero,Mapped to the 'Hero' block in the AEM catalog.
Putting our people first AbbVie’s family benefits | AbbVie,Story Highlight,Highlights a specific story with visual and textual content.,M,1,Card layout with image and text requires responsive design.,https://www.abbvie.com/who-we-are/our-stories/putting-our-people-first-abbvies-family-benefits.html,story_highlight,Highlight card,Mapped to the 'Cards' block in the AEM catalog.
Putting our people first AbbVie’s family benefits | AbbVie,Dashboard Cards,Displays statistics or highlights in card format.,M,1,Dynamic content with responsive grid layout.,https://www.abbvie.com/who-we-are/our-stories/putting-our-people-first-abbvies-family-benefits.html,dashboard_cards,Dashboard card,Mapped to the 'Cards' block in the AEM catalog.
Discovery Files: A Vision for Blood Cancer Patients | AbbVie,Global Utility Strip,"Provides quick access to contact, subscription, and group site links.",S,1,Simple navigation links with minimal interactivity.,https://www.abbvie.com/who-we-are/our-stories/discovery-files-vision-for-blood-cancer-patients.html,global_utility_strip,Utility strip,No direct match in AEM catalog.
Discovery Files: A Vision for Blood Cancer Patients | AbbVie,Primary Navigation,Main site navigation including mega menus and branding.,C,1,Deep navigation structure with potential accessibility requirements.,https://www.abbvie.com/who-we-are/our-stories/discovery-files-vision-for-blood-cancer-patients.html,primary_navigation,Main navigation,Mapped to 'Header' due to similar functionality.
Discovery Files: A Vision for Blood Cancer Patients | AbbVie,Story Highlight Cards,Displays featured stories in a card format with images and descriptions.,M,1,Dynamic content display and responsive design considerations.,https://www.abbvie.com/who-we-are/our-stories/discovery-files-vision-for-blood-cancer-patients.html,story_highlight_cards,Featured stories,Mapped to 'Cards' for its card-based content display.
Discovery Files: A Vision for Blood Cancer Patients | AbbVie,Call to Action Section,Encourages user interaction with buttons and links.,S,1,Simple call-to-action elements with straightforward functionality.,https://www.abbvie.com/who-we-are/our-stories/discovery-files-vision-for-blood-cancer-patients.html,cta_section,Interactive buttons,No direct match in AEM catalog.
Going inside prison walls to help eliminate hepatitis C | AbbVie,Global Utility Strip,"Provides quick access to contact, subscription, and group site links.",S,1,Simple functionality with minimal interactivity.,https://www.abbvie.com/who-we-are/our-stories/going-inside-prison-walls-to-help-eliminate-hepatitis-c.html,global_utility_strip,Utility strip,No direct match found in the AEM catalog.
Going inside prison walls to help eliminate hepatitis C | AbbVie,Primary Navigation,Main navigation menu for site sections and pages.,M,1,Moderate complexity due to potential depth and accessibility requirements.,https://www.abbvie.com/who-we-are/our-stories/going-inside-prison-walls-to-help-eliminate-hepatitis-c.html,primary_navigation,Main navigation,No direct match found in the AEM catalog.
Going inside prison walls to help eliminate hepatitis C | AbbVie,Content Introduction,Provides an introductory text and links related to the page topic.,S,1,Simple layout with text and links.,https://www.abbvie.com/who-we-are/our-stories/going-inside-prison-walls-to-help-eliminate-hepatitis-c.html,content_intro,Introductory content,No direct match found in the AEM catalog.
